series,source_run,point_origin,tp,ep,concurrency,kv_offloading,p90_interactivity_tokens_per_s_user,throughput_per_gpu_tokens_per_s,duration_seconds,successful_requests,pareto_frontier,artifact_source
B200,InferenceX 30758866378 attempt 1,runner aggregate,4,1,4,none,390.32227,6625.49065,3600.47433,1049,true,/Users/anluo/code/qwen35-mi355x-agentx/runner_artifacts/b200_30758866378_attempt1/qwen3.5_tp4_conc4_kvnone_spec-mtp_fp4_sglang_tp4-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc4_b200-dgxc_02.json
B200,InferenceX 30758866378 attempt 1,runner aggregate,4,1,8,none,336.54274,10935.27055,3609.42896,1620,true,/Users/anluo/code/qwen35-mi355x-agentx/runner_artifacts/b200_30758866378_attempt1/qwen3.5_tp4_conc8_kvnone_spec-mtp_fp4_sglang_tp4-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc8_b200-dgxc_07.json
B200,InferenceX 30758866378 attempt 1,runner aggregate,4,1,12,none,277.05254,17967.34493,3604.75660,2528,true,/Users/anluo/code/qwen35-mi355x-agentx/runner_artifacts/b200_30758866378_attempt1/qwen3.5_tp4_conc12_kvnone_spec-mtp_fp4_sglang_tp4-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc12_b200-dgxc_08.json
B200,InferenceX 30758866378 attempt 1,runner aggregate,4,1,16,none,258.91839,23086.21624,3604.25407,3075,true,/Users/anluo/code/qwen35-mi355x-agentx/runner_artifacts/b200_30758866378_attempt1/qwen3.5_tp4_conc16_kvnone_spec-mtp_fp4_sglang_tp4-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc16_b200-dgxc_06.json
B200,InferenceX 30758866378 attempt 1,runner aggregate,4,1,20,none,235.87020,30831.92503,3591.30776,4015,true,/Users/anluo/code/qwen35-mi355x-agentx/runner_artifacts/b200_30758866378_attempt1/qwen3.5_tp4_conc20_kvnone_spec-mtp_fp4_sglang_tp4-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc20_b200-dgxc_06.json
B200,InferenceX 30758866378 attempt 1,runner aggregate,2,1,8,none,228.20034,20252.35412,3614.49822,1526,false,/Users/anluo/code/qwen35-mi355x-agentx/runner_artifacts/b200_30758866378_attempt1/qwen3.5_tp2_conc8_kvnone_spec-mtp_fp4_sglang_tp2-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc8_b200-dgxc_05.json
B200,InferenceX 30758866378 attempt 1,runner aggregate,4,1,24,none,198.67258,34107.36933,3610.39436,4425,true,/Users/anluo/code/qwen35-mi355x-agentx/runner_artifacts/b200_30758866378_attempt1/qwen3.5_tp4_conc24_kvnone_spec-mtp_fp4_sglang_tp4-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc24_b200-dgxc_08.json
B200,InferenceX 30758866378 attempt 1,runner aggregate,2,1,16,dram,165.94653,43221.85519,3605.77843,2907,true,/Users/anluo/code/qwen35-mi355x-agentx/runner_artifacts/b200_30758866378_attempt1/qwen3.5_tp2_conc16_kvdram-hicache_spec-mtp_fp4_sglang_tp2-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc16_b200-dgxc_08.json
B200,InferenceX 30758866378 attempt 1,runner aggregate,4,1,28,none,162.71362,42346.54823,3600.49148,5552,false,/Users/anluo/code/qwen35-mi355x-agentx/runner_artifacts/b200_30758866378_attempt1/qwen3.5_tp4_conc28_kvnone_spec-mtp_fp4_sglang_tp4-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc28_b200-dgxc_00.json
B200,InferenceX 30758866378 attempt 1,runner aggregate,2,1,18,dram,146.90252,51008.23112,3602.46974,3309,true,/Users/anluo/code/qwen35-mi355x-agentx/runner_artifacts/b200_30758866378_attempt1/qwen3.5_tp2_conc18_kvdram-hicache_spec-mtp_fp4_sglang_tp2-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc18_b200-dgxc_05.json
